   W                 E4-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.012    0.016    0.000    0.019
1493.809   -0.006    0.017   -0.003    0.017
1500.077    0.002    0.019   -0.000    0.016
1506.319    0.001    0.019    0.002    0.014
1512.535    0.001    0.020   -0.002    0.014
1518.726    0.002    0.020    0.002    0.013
1524.891   -0.004    0.021   -0.006    0.012
1531.032   -0.004    0.021    0.002    0.012
1537.148    0.002    0.021    0.003    0.012
1543.240   -0.001    0.021    0.003    0.011
1549.308   -0.000    0.021   -0.005    0.012
1555.352   -0.002    0.021    0.001    0.012
1561.373    0.001    0.021    0.006    0.012
1567.371   -0.001    0.020    0.000    0.013
1573.346   -0.001    0.019   -0.008    0.013
1579.298    0.005    0.019   -0.007    0.013
1585.228   -0.002    0.019    0.008    0.014
1591.136    0.002    0.018    0.012    0.014
1597.022   -0.002    0.019    0.004    0.015
1602.886   -0.003    0.017    0.009    0.015
1608.729   -0.001    0.017   -0.002    0.016
1614.551    0.004    0.016    0.006    0.015
1620.352   -0.002    0.015   -0.007    0.016
1626.132    0.004    0.015    0.001    0.015
1631.892   -0.008    0.014   -0.012    0.014
1637.631   -0.003    0.014    0.002    0.014
1643.351   -0.000    0.014    0.015    0.014
1649.050   -0.009    0.015   -0.016    0.014
1654.730    0.002    0.015    0.003    0.012
1660.391    0.014    0.011    0.001    0.013
1666.032    0.122    0.011    0.121    0.008
1671.655   -0.006    0.013   -0.003    0.012
1677.258    0.110    0.011    0.111    0.008
1682.843   -0.001    0.015   -0.004    0.013
1688.409   -0.003    0.015    0.005    0.013
1693.957    0.109    0.009    0.051    0.014
1699.487    0.025    0.009   -0.000    0.010
1704.999    0.118    0.008    0.091    0.009
1710.493    0.105    0.008    0.101    0.009
1715.970    0.091    0.008    0.084    0.008
1721.429    0.090    0.010    0.042    0.015
1726.871   -0.001    0.015   -0.005    0.016
1732.296    0.056    0.012    0.001    0.018
1737.704   -0.003    0.013   -0.007    0.013
1743.095    0.050    0.010   -0.011    0.016
1748.469    0.072    0.006    0.014    0.011
1753.827    0.026    0.007    0.010    0.009
1759.169    0.020    0.013   -0.042    0.016
1764.495    0.071    0.006   -0.001    0.011
1769.804   -0.012    0.011   -0.026    0.017
1775.098    0.004    0.009   -0.001    0.016
1780.376    0.058    0.006   -0.013    0.009
1785.638    0.004    0.009   -0.003    0.015
1790.885   -0.005    0.009   -0.000    0.014
1796.116    0.004    0.010   -0.006    0.018
1801.333    0.030    0.006    0.024    0.011
1806.534    0.006    0.009    0.004    0.012
1811.720    0.002    0.010   -0.005    0.017
1816.892    0.022    0.005    0.018    0.013
1822.049   -0.001    0.010   -0.000    0.013
1827.191    0.008    0.010   -0.000    0.013
1832.319    0.021    0.008    0.012    0.015
1837.432    0.020    0.005    0.022    0.013
1842.532    0.008    0.006    0.005    0.013
1847.617    0.003    0.007    0.006    0.011
1852.688    0.014    0.009    0.006    0.011
1857.746    0.010    0.008   -0.001    0.014
1862.790    0.017    0.005    0.008    0.011
1867.820    0.003    0.011   -0.009    0.013
1872.836    0.008    0.009    0.004    0.012
1877.840    0.008    0.009    0.000    0.011
1882.829    0.011    0.009   -0.008    0.011
1887.806    0.009    0.009    0.001    0.012
1892.770    0.006    0.008   -0.008    0.012
1897.721    0.001    0.007   -0.003    0.009
1902.658    0.004    0.007   -0.006    0.008
1907.583    0.004    0.007    0.000    0.010
1912.496   -0.010    0.006   -0.018    0.006
1917.395    0.006    0.006   -0.003    0.007
1922.283    0.008    0.006    0.005    0.007
