   W                 E2-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.196    0.197   -0.173    0.236
1493.809    0.264    0.162   -0.091    0.195
1500.077    0.061    0.176    0.177    0.131
1506.319   -0.010    0.154    0.222    0.091
1512.535    0.087    0.153    0.284    0.092
1518.726    0.026    0.133    0.390    0.069
1524.891    0.050    0.132    0.450    0.068
1531.032   -0.012    0.129    0.470    0.060
1537.148   -0.081    0.121    0.452    0.056
1543.240   -0.077    0.119    0.486    0.055
1549.308   -0.128    0.114    0.514    0.055
1555.352   -0.167    0.109    0.508    0.057
1561.373   -0.165    0.108    0.457    0.056
1567.371   -0.173    0.103    0.471    0.060
1573.346   -0.199    0.100    0.482    0.059
1579.298   -0.203    0.094    0.467    0.063
1585.228   -0.219    0.089    0.443    0.067
1591.136   -0.221    0.088    0.431    0.065
1597.022   -0.202    0.081    0.424    0.069
1602.886   -0.200    0.079    0.412    0.067
1608.729   -0.187    0.074    0.421    0.071
1614.551   -0.215    0.073    0.425    0.071
1620.352   -0.206    0.069    0.425    0.073
1626.132   -0.200    0.065    0.441    0.074
1631.892   -0.190    0.065    0.422    0.074
1637.631   -0.192    0.062    0.428    0.072
1643.351   -0.213    0.061    0.407    0.067
1649.050   -0.208    0.059    0.430    0.069
1654.730   -0.212    0.060    0.425    0.064
1660.391   -0.227    0.059    0.413    0.065
1666.032   -0.218    0.062    0.387    0.063
1671.655   -0.227    0.060    0.420    0.060
1677.258   -0.245    0.060    0.380    0.061
1682.843   -0.219    0.060    0.387    0.059
1688.409   -0.237    0.061    0.361    0.060
1693.957   -0.224    0.059    0.380    0.057
1699.487   -0.238    0.057    0.366    0.059
1704.999   -0.219    0.055    0.337    0.062
1710.493   -0.237    0.055    0.344    0.059
1715.970   -0.231    0.052    0.314    0.059
1721.429   -0.230    0.055    0.332    0.059
1726.871   -0.212    0.050    0.303    0.061
1732.296   -0.224    0.049    0.316    0.060
1737.704   -0.186    0.048    0.280    0.057
1743.095   -0.196    0.049    0.303    0.058
1748.469   -0.192    0.047    0.274    0.061
1753.827   -0.174    0.047    0.247    0.065
1759.169   -0.181    0.051    0.253    0.063
1764.495   -0.138    0.047    0.232    0.060
1769.804   -0.074    0.045    0.198    0.071
1775.098   -0.168    0.047    0.109    0.068
1780.376   -0.121    0.046    0.268    0.056
1785.638   -0.084    0.050    0.199    0.066
1790.885   -0.145    0.052    0.098    0.081
1796.116   -0.078    0.049    0.067    0.074
1801.333   -0.024    0.050    0.180    0.069
1806.534   -0.016    0.050    0.165    0.078
1811.720   -0.002    0.050    0.066    0.071
1816.892    0.001    0.053    0.098    0.084
1822.049    0.005    0.045    0.083    0.069
1827.191    0.047    0.046    0.181    0.060
1832.319    0.152    0.052    0.032    0.068
1837.432    0.092    0.044    0.092    0.066
1842.532    0.105    0.042    0.109    0.061
1847.617    0.169    0.044    0.233    0.061
1852.688    0.134    0.058    0.231    0.066
1857.746    0.286    0.048    0.065    0.068
1862.790    0.171    0.047    0.125    0.063
1867.820    0.153    0.043    0.220    0.059
1872.836    0.097    0.051    0.200    0.062
1877.840    0.295    0.046    0.227    0.058
1882.829    0.293    0.048    0.167    0.076
1887.806    0.223    0.047    0.059    0.050
1892.770    0.198    0.041    0.237    0.053
1897.721    0.216    0.038    0.302    0.050
1902.658    0.214    0.041    0.180    0.043
1907.583    0.257    0.037    0.336    0.048
1912.496    0.236    0.034    0.331    0.042
1917.395    0.192    0.036    0.172    0.039
1922.283    0.162    0.038    0.291    0.040
