   W                 M4+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.032    0.046   -0.019    0.062
1493.809    0.009    0.098   -0.059    0.038
1500.077   -0.006    0.036    0.002    0.028
1506.319   -0.009    0.030    0.011    0.019
1512.535    0.006    0.028    0.007    0.020
1518.726    0.001    0.021    0.006    0.014
1524.891   -0.003    0.021    0.005    0.013
1531.032   -0.014    0.022   -0.003    0.014
1537.148   -0.003    0.019   -0.002    0.013
1543.240   -0.005    0.018   -0.000    0.012
1549.308    0.005    0.018   -0.000    0.012
1555.352   -0.002    0.018   -0.006    0.012
1561.373    0.003    0.019    0.002    0.012
1567.371   -0.000    0.016    0.006    0.012
1573.346    0.004    0.016    0.009    0.012
1579.298    0.001    0.015   -0.003    0.012
1585.228    0.002    0.016   -0.005    0.013
1591.136    0.002    0.017   -0.010    0.012
1597.022   -0.000    0.013   -0.001    0.011
1602.886    0.000    0.012    0.002    0.012
1608.729    0.000    0.012    0.004    0.011
1614.551    0.001    0.012   -0.001    0.011
1620.352   -0.001    0.011    0.000    0.012
1626.132   -0.002    0.013   -0.011    0.012
1631.892   -0.001    0.011    0.009    0.011
1637.631   -0.001    0.010   -0.003    0.010
1643.351    0.001    0.009   -0.005    0.010
1649.050   -0.006    0.008   -0.004    0.009
1654.730   -0.001    0.009    0.001    0.009
1660.391   -0.002    0.008   -0.003    0.011
1666.032    0.003    0.009    0.003    0.009
1671.655    0.003    0.007   -0.002    0.010
1677.258    0.004    0.009   -0.002    0.009
1682.843   -0.003    0.009   -0.000    0.009
1688.409    0.005    0.008   -0.002    0.008
1693.957   -0.002    0.008   -0.003    0.011
1699.487    0.003    0.008   -0.005    0.010
1704.999    0.003    0.008    0.002    0.009
1710.493   -0.003    0.007   -0.005    0.010
1715.970   -0.003    0.008   -0.001    0.009
1721.429    0.001    0.007    0.000    0.009
1726.871    0.004    0.008    0.000    0.010
1732.296    0.003    0.008    0.005    0.009
1737.704    0.008    0.009    0.015    0.009
1743.095    0.005    0.008    0.003    0.008
1748.469   -0.003    0.006    0.005    0.006
1753.827    0.004    0.008   -0.005    0.010
1759.169    0.007    0.009    0.000    0.008
1764.495    0.014    0.009    0.013    0.008
1769.804    0.019    0.006    0.017    0.008
1775.098   -0.006    0.007    0.002    0.008
1780.376    0.016    0.009   -0.007    0.008
1785.638   -0.002    0.007   -0.003    0.008
1790.885    0.013    0.008    0.001    0.009
1796.116    0.011    0.007   -0.000    0.008
1801.333   -0.001    0.008   -0.007    0.008
1806.534   -0.000    0.007   -0.004    0.009
1811.720    0.008    0.006    0.009    0.009
1816.892    0.004    0.007    0.004    0.010
1822.049    0.017    0.007   -0.002    0.009
1827.191    0.011    0.007   -0.003    0.008
1832.319    0.019    0.006   -0.011    0.008
1837.432    0.009    0.006   -0.016    0.007
1842.532    0.006    0.007   -0.000    0.007
1847.617    0.001    0.006   -0.007    0.008
1852.688    0.001    0.006   -0.004    0.006
1857.746   -0.002    0.006    0.022    0.010
1862.790    0.014    0.006    0.005    0.007
1867.820    0.004    0.006    0.005    0.007
1872.836    0.004    0.007   -0.001    0.008
1877.840    0.008    0.008    0.005    0.005
1882.829   -0.000    0.007    0.012    0.007
1887.806    0.009    0.006    0.002    0.006
1892.770   -0.002    0.006    0.013    0.007
1897.721    0.010    0.006    0.008    0.006
1902.658    0.007    0.005    0.006    0.005
1907.583    0.005    0.004    0.002    0.005
1912.496    0.013    0.005   -0.001    0.005
1917.395    0.003    0.005    0.015    0.004
1922.283    0.013    0.004   -0.004    0.004
